,power,potential,cost,state_of_charge,cycle_count
2021-01-03 06:30:00+00:00,-0.2,-0.4,-0.063237019,0.635614035,0.011875
2021-01-03 06:45:00+00:00,0.0,0.0,0.0,0.635614035,0.0
2021-01-03 07:00:00+00:00,-1.0,-2.0,-0.176857457,0.754364035,0.059375
2021-01-03 07:15:00+00:00,-0.333333333,-0.666666667,-0.01824904,0.793947368,0.019791667
2021-01-03 07:30:00+00:00,-0.133333333,-0.266666667,-0.000723703,0.809780702,0.007916667
2021-01-03 07:45:00+00:00,0.0,0.0,0.0,0.809780702,0.0
2021-01-03 08:00:00+00:00,0.0,0.0,0.0,0.809780702,0.0
2021-01-03 08:15:00+00:00,0.0,0.0,0.0,0.809780702,0.0
2021-01-03 08:30:00+00:00,1.0,2.0,0.683418606,0.678201754,0.065789474
2021-01-03 08:45:00+00:00,0.933333333,1.866666667,0.654577778,0.555394737,0.061403509
2021-01-03 09:00:00+00:00,1.0,2.0,0.703481757,0.423815789,0.065789474
2021-01-03 09:15:00+00:00,1.0,2.0,0.71037795,0.292236842,0.065789474
2021-01-03 09:30:00+00:00,0.866666667,1.733333333,0.624727757,0.177346491,0.065361842
2021-01-03 09:45:00+00:00,0.587833333,1.175666667,0.424938701,0.1,0.038673246
2021-01-03 10:00:00+00:00,-0.066666667,-0.133333333,-0.048344956,0.107916667,0.003958333
2021-01-03 10:15:00+00:00,-0.866666667,-1.733333333,-0.61113462,0.20997807,0.059802632
2021-01-03 10:30:00+00:00,0.835833333,1.671666667,0.603030309,0.1,0.054989035
2021-01-03 10:45:00+00:00,-0.0065,-0.013,-0.004772799,0.1,0.007916667
2021-01-03 11:00:00+00:00,0.0,0.0,0.0,0.1,0.0
2021-01-03 11:15:00+00:00,-0.0065,-0.013,-0.004772799,0.1,0.007916667
2021-01-03 11:30:00+00:00,0.0,0.0,0.0,0.1,0.0
2021-01-03 11:45:00+00:00,0.0,0.0,0.0,0.1,0.0
2021-01-03 12:00:00+00:00,0.0,0.0,0.0,0.1,0.0
2021-01-03 12:15:00+00:00,0.0,0.0,0.0,0.1,0.0
2021-01-03 12:30:00+00:00,-1.0,-2.0,-0.705896034,0.21875,0.059375
2021-01-03 12:45:00+00:00,-1.0,-2.0,-0.621637717,0.3375,0.059375
2021-01-03 13:00:00+00:00,-0.266666667,-0.533333333,-0.127420919,0.366600877,0.040866228
2021-01-03 13:15:00+00:00,-1.0,-2.0,-0.556642361,0.485350877,0.059375
2021-01-03 13:30:00+00:00,-0.533333333,-1.066666667,-0.265843961,0.548684211,0.031666667
2021-01-03 13:45:00+00:00,-0.8,-1.6,-0.301276231,0.643684211,0.0475
2021-01-03 14:00:00+00:00,0.0,0.0,0.0,0.643684211,0.0
2021-01-03 14:15:00+00:00,-0.8,-1.6,-0.15066883,0.738684211,0.0475
2021-01-03 14:30:00+00:00,0.0,0.0,0.0,0.738684211,0.0
2021-01-03 14:45:00+00:00,-0.066666667,-0.133333333,-0.006691021,0.746600877,0.003958333
2021-01-03 15:00:00+00:00,-0.6,-1.2,-0.02124302,0.817850877,0.035625
2021-01-03 15:15:00+00:00,0.0,0.0,0.0,0.817850877,0.0
2021-01-03 15:30:00+00:00,0.066666667,0.133333333,0.041377778,0.809078947,0.004385965
2021-01-03 15:45:00+00:00,0.733333333,1.466666667,0.496396383,0.712587719,0.048245614
2021-01-03 16:00:00+00:00,0.933333333,1.866666667,0.654577778,0.589780702,0.061403509
2021-01-03 16:15:00+00:00,1.0,2.0,0.701793503,0.458201754,0.065789474
2021-01-03 16:30:00+00:00,1.0,2.0,0.709693376,0.326622807,0.065789474
2021-01-03 16:45:00+00:00,1.0,2.0,0.711663661,0.19504386,0.065789474
2021-01-03 17:00:00+00:00,-0.466666667,-0.933333333,-0.312300586,0.247039474,0.061085526
2021-01-03 17:15:00+00:00,-1.0,-2.0,-0.601054458,0.365789474,0.059375
2021-01-03 17:30:00+00:00,-1.0,-2.0,-0.55780337,0.484539474,0.059375
2021-01-03 17:45:00+00:00,-1.0,-2.0,-0.46718998,0.603289474,0.059375
2021-01-03 18:00:00+00:00,-0.266666667,-0.533333333,-0.087089507,0.63495614,0.015833333
2021-01-03 18:15:00+00:00,-0.266666667,-0.533333333,-0.060002764,0.666622807,0.015833333
2021-01-03 18:30:00+00:00,-0.133333333,-0.266666667,-0.026533333,0.68245614,0.007916667
2021-01-03 18:45:00+00:00,-0.2,-0.4,-0.039675837,0.70620614,0.011875
2021-01-03 19:00:00+00:00,0.0,0.0,0.0,0.70620614,0.0
2021-01-03 19:15:00+00:00,0.8,1.6,0.561066667,0.600942982,0.052631579
2021-01-03 19:30:00+00:00,-0.733333333,-1.466666667,-0.188754004,0.688026316,0.043541667
2021-01-03 19:45:00+00:00,-0.2,-0.4,-0.039551674,0.711776316,0.011875
2021-01-03 20:00:00+00:00,0.133333333,0.266666667,0.093511111,0.694232456,0.00877193
2021-01-03 20:15:00+00:00,0.866666667,1.733333333,0.607822222,0.580197368,0.057017544
2021-01-03 20:30:00+00:00,-0.533333333,-1.066666667,-0.176564269,0.643530702,0.031666667
2021-01-03 20:45:00+00:00,-0.4,-0.8,-0.080286719,0.691030702,0.02375
2021-01-03 21:00:00+00:00,1.0,2.0,0.701333333,0.559451754,0.065789474
2021-01-03 21:15:00+00:00,0.6,1.2,0.45041546,0.47879386,0.056162281
2021-01-03 21:30:00+00:00,-1.0,-2.0,-0.475435634,0.59754386,0.059375
2021-01-03 21:45:00+00:00,-0.866666667,-1.733333333,-0.216572809,0.700460526,0.051458333
2021-01-03 22:00:00+00:00,-0.533333333,-1.066666667,-0.038312913,0.762938596,0.040010965
2021-01-03 22:15:00+00:00,-0.666666667,-1.333333333,0.017962801,0.842105263,0.039583333
2021-01-03 22:30:00+00:00,-0.333333333,-0.666666667,0.158002865,0.881688596,0.019791667
2021-01-03 22:45:00+00:00,-0.133333333,-0.266666667,0.166366478,0.89752193,0.007916667
2021-01-03 23:00:00+00:00,0.466666667,0.933333333,0.321241011,0.836118421,0.030701754
2021-01-03 23:15:00+00:00,0.0,0.0,0.069075278,0.834407895,0.016688596
2021-01-03 23:30:00+00:00,0.733333333,1.466666667,0.517442337,0.737916667,0.048245614
2021-01-03 23:45:00+00:00,0.933333333,1.866666667,0.686629325,0.615109649,0.061403509
