Date,Median,75th Percentile,90th Percentile
2030-08-31,0.8855677563755149,0.9868571744642188,1.0655499938931372
2030-09-30,0.874076655898657,0.9803126453483754,1.0473702928491098
2030-10-31,0.8999322241339931,1.000388174424245,1.0710251846982524
2030-11-30,0.8926253797980415,0.9934275742642977,1.0551156789583154
2030-12-31,0.9130481829474453,1.0168690501598459,1.0751121958805916
2031-01-31,0.9561549806485592,1.0508965830581727,1.1401295875582032
2031-02-28,0.964780595127531,1.0669108847774302,1.1462929896611846
2031-03-31,0.9635098090999069,1.0718401581330392,1.1425972839498244
2031-04-30,0.9176833984950641,1.0213667759392226,1.08023293431704
2031-05-31,0.9184744360561677,1.018765521968722,1.0726423113706955
2031-06-30,0.8885282142734767,0.9759763609371847,1.0333708633895446
2031-07-31,0.9189596805319247,1.00091214006855,1.0676579009710472
2031-08-31,0.8873096130929341,0.9573717259053334,1.0207819340418385
2031-09-30,0.8768183795336906,0.9417871314662508,0.9987597334297962
2031-10-31,0.9057318386946136,0.9676464742641773,1.0251188767794295
2031-11-30,0.8964947551608522,0.9543192652780368,1.0154113095763115
2031-12-31,0.9252305165986991,0.9851591070910636,1.045876019762749
2032-01-31,0.930678147275202,1.0217223490736425,1.079460335643213
2032-02-29,0.945725971713071,1.0369109113529904,1.092756772650117
2032-03-31,0.9549903182388828,1.0443185751641149,1.0989646196152953
2032-04-30,0.914040299022705,0.9858570582965389,1.0381135951785847
2032-05-31,0.9049236900330402,0.9824824695859601,1.03985318783758
2032-06-30,0.8728634090240255,0.9507491702961788,0.9984249432233085
2032-07-31,0.9037776099898968,0.9903579651326042,1.0400253061306994
2032-08-31,0.8474897299386095,0.9333267931107467,0.9925743767153902
2032-09-30,0.8308124116743294,0.9263045150059961,0.9812346484985869
2032-10-31,0.8591807020101035,0.9709086003914544,1.0178492597306577
2032-11-30,0.8508180312105269,0.9662694612439691,1.0110472860865218
2032-12-31,0.8835965198034319,1.0016159948464534,1.0470937723761
2033-01-31,0.9037439242827254,1.0151060480289567,1.0830795028304758
2033-02-28,0.9133096673553724,1.0359593706910541,1.100465378651014
2033-03-31,0.9209172812968065,1.0489740125279607,1.1085333981579408
2033-04-30,0.8695316030235369,0.9985947959587327,1.0457827516908949
2033-05-31,0.8715140903594306,1.003041856652698,1.0423951120830637
2033-06-30,0.8353341862945838,0.9648164497434839,1.0002950752962632
2033-07-31,0.8747122560701346,1.011028982945323,1.0482571481773235
2033-08-31,0.8264948642401159,0.962723932907547,0.993776912740908
2033-09-30,0.8156702831446163,0.950009220215666,0.9782821014229502
2033-10-31,0.8504580744611148,0.9891993016347254,1.0250118023486106
2033-11-30,0.8420878768972198,0.9804748115028782,1.013949055518154
2033-12-31,0.8723592471453804,1.0166782009636652,1.0548223827428431
2034-01-31,0.8891675499494296,1.0290228584654681,1.0773898002559992
2034-02-28,0.9067107873461244,1.0509582227998329,1.096927695750559
2034-03-31,0.9113897908679867,1.0583080736568518,1.102425864951432
