Date,Ra,Rb,Rc,Rd,Re,Rf,Ea,Eb,Ec,Na,Nb,Nc,Nd,Ga,Gb,Gc,Ba,Bb,Bc,Bd,Be,Bf
2027-12-31,6566.979984,6566.979984,6804.015408,6804.015408,7131.223632,7131.223632,100.5795,98.2105,100.5795,80.0,100.0,120.0,52.96,32.9456,32.9456,35.1876,51.21417349001212,53.713164611424006,47.983430875190834,30.41891441855173,31.134932759695268,30.49096432270588
2028-01-31,7118.0712,7118.0712,7421.47688,7421.47688,7821.09044,7821.09044,104.7891,101.8209,104.7891,33.0,40.5,48.0,20.04,21.5985,21.5985,23.7575,51.75824246098975,54.30255793668097,48.467477606557665,30.636138874994124,31.391420265465,30.71213965411653
2028-02-29,7819.901504,7819.901504,8327.278544,8327.278544,8931.558504,8931.558504,91.8255,89.2245,91.8255,0.0,0.0,0.0,0.0,17.787,17.787,19.565,52.262082824977604,54.84819236688268,48.91595940321879,30.846908710551272,31.640286485682182,30.926742968099653
2028-03-31,7671.513456,7671.513456,8653.960992,8653.960992,9704.488248,9704.488248,100.4679,97.6221,100.4679,55.0,67.5,80.0,33.4,19.5657,19.5657,21.5215,52.79535393943639,55.42551715417032,49.39086789402775,31.08052935075136,31.916133764955443,31.164612696798105
2028-04-30,8359.74528,8359.74528,9735.77664,9735.77664,11168.8032,11168.8032,112.3512,109.1688,112.3512,121.0,148.5,176.0,73.48,20.8362,20.8362,22.919,53.30634357241397,55.97854971752614,49.8461488403755,31.31502292896519,32.193011764698696,31.403371240493055
2028-05-31,8457.306416,8457.306416,10171.60394,10171.60394,11924.96022,11924.96022,119.9133,116.5167,119.9133,176.0,216.0,256.0,106.88,24.6477,24.6477,27.1115,53.8292704896303,56.544334591276325,50.312277837569816,31.566263727828797,32.48966402431759,31.65918160302132
2028-06-30,8180.964,8180.964,10115.9496,10115.9496,12072.3984,12072.3984,109.1103,106.0197,109.1103,121.0,148.5,176.0,73.48,24.6477,24.6477,27.1115,54.3305367994433,57.08652950600978,50.75929495271172,31.818273380662628,32.787224107302016,31.915774803423623
2028-07-31,8459.260656,8459.260656,10166.93881,10166.93881,11914.4687,11914.4687,112.3512,109.1688,112.3512,209.0,256.5,304.0,126.92,25.6641,25.6641,28.2295,54.843699048306405,57.641439927652634,51.21711404486138,32.08809251318633,33.10581271119759,32.19050140204992
2028-08-31,7578.913728,7578.913728,9108.486464,9108.486464,10673.95472,10673.95472,113.4315,110.2185,113.4315,132.0,162.0,192.0,80.16,28.4592,28.4592,31.304,55.35210404028692,58.191058959481474,51.670876885072204,32.36771712867831,33.435979126867174,32.47521182561318
2028-09-30,6355.18512,6355.18512,7501.33872,7501.33872,8686.11312,8686.11312,105.8694,102.8706,105.8694,77.0,94.5,112.0,46.76,27.951,27.951,30.745,55.83970172875771,58.71805020175795,52.10623994267726,32.64788569357094,33.766787810112525,32.76047609192016
2028-10-31,8172.189248,8172.189248,8873.182576,8873.182576,9672.018104,9672.018104,104.7891,101.8209,104.7891,88.0,108.0,128.0,53.44,29.2215,29.2215,32.1425,56.33911949562372,59.25768444167244,52.552326189730245,32.94750819374344,34.12056670315404,33.06554812137331
2028-11-30,7543.4952,7543.4952,7916.196,7916.196,8397.0072,8397.0072,111.2709,108.1191,111.2709,11.0,13.5,16.0,6.68,34.3035,34.3035,37.7325,56.818247535558925,59.77527283132337,52.980446495319136,33.24747210797299,34.47474872041721,33.37096777451697
