Date,BESS,EUA,NG_Price,RESP,Imbalance,Day-ahead,Intraday,Total,Day-ahead Only,Imbalance (4h),Day-ahead (4h),Intraday (4h)
2023-01-31,12.315302134607444,82.26,63.68464984893799,3509.497931,20987.671722047817,0.0,-542.6225498671819,20445.049172180632,88.03148273363922,23824.875,0.0,-34.775
2023-02-28,13.5400640077266,84.9,52.79315828022204,2709.206806,19468.738805003974,0.0,-1986.4641088165213,17482.274696187455,0.0,22382.15,0.0,-2166.774
2023-03-31,14.66287829861518,79.97,44.02530421381412,4139.429306,25718.438929850985,0.0,-3959.594423589094,21758.84450626189,245.52643040583388,34247.63,0.0,-4355.839
2023-04-30,15.705625319186328,66.73,42.07031571237665,4262.320784,25108.07395084653,0.0,282.48221354451124,25390.556164391044,798.7478175860186,30230.214,0.0,525.0360000000001
2023-05-31,16.68332500832293,80.03,32.05118179321289,4890.540827,20115.12577852192,150.82860369130128,-772.5064268359163,19493.447955377305,1002.0671475741764,24685.512,210.465,-594.404
2023-06-30,17.60681686165901,78.55,32.47385715302967,5350.262153,30168.566490061043,55.48563531069025,-1451.6948449679137,28772.357280403816,411.4671402410393,37211.14,66.67,-1436.74
2023-07-31,18.484227510682363,90.16,29.15274991989136,5436.7547110000005,26479.0512584913,0.0,13.097590328820116,26492.14884882012,939.0185484719536,31648.132,0.0,287.395
2023-08-31,19.32183566158592,84.02,35.00043487548828,4274.691709000001,29041.657130023093,89.62183579676675,2015.226986605081,31146.505952424945,292.1083025404157,38489.199,395.267,2225.611
2023-09-30,20.12461179749811,84.45,37.04330043792724,3632.255649,30555.81755717724,391.7312219548172,-1610.8647491654374,29336.684029966626,450.01258015682015,37840.197,379.59,-1807.7590000000002
2023-10-31,20.896570691543307,76.48,47.06813638860529,4205.750777,28757.173925825875,0.0,-1405.1786519759182,27351.99527384996,391.91367351034273,35067.634,240.0,-1504.2479999999998
2023-11-30,21.641010450839243,82.21,45.73563645102761,4225.343604000001,24975.188984486405,211.7422941314738,1008.7015444644676,26195.63282308235,0.0,30923.861,710.587,1005.066
2023-12-31,22.360679774997894,89.24,35.9706995010376,4446.523876,13663.851623318737,0.0,322.2169978104474,13986.068621129183,174.24453589302473,15902.476000000002,0.0,-148.98499999999967
2024-01-31,22.73030282830976,80.65,29.907999946957545,4441.321529,14595.257338538411,0.0,4372.960058010618,18968.21739654903,82.42428021549031,17477.654000000002,0.0,4750.753000000001
2024-02-29,23.094010767585036,75.37,25.86625013351441,4391.252742,14672.128443963182,0.0,1381.3502842447213,16053.478728207903,10.87581050351922,18761.613,0.0,1131.2309999999998
2024-03-31,23.45207879911715,58.71,26.85285005569458,4644.032638000001,-1325.264789222845,357.0737477899916,17688.81188569452,16720.620844261663,387.89421561995545,9524.984,680.08,17413.987999999998
2024-04-30,23.80476142847617,61.74,28.96180933997745,6077.437349000001,18315.469913364268,956.1415166958242,5740.264613523998,25011.87604358409,934.2703002205828,25158.873,1381.662,6437.143
2024-05-31,24.1522945769824,60.76,31.812363711270415,5186.860423,18209.535772696247,1099.7550443686007,4131.708382252559,23440.999199317408,1144.6618935153583,25171.857,1820.48,4716.803
2024-06-30,24.49489742783178,53.33,34.4207370155736,5496.483207,17858.88934277277,48.91646853941093,3636.438193079428,21544.24400439161,618.1169511622626,26755.16,81.0,4356.745
2024-07-31,24.8327740429189,56.37,32.52304545315829,5652.426168,13939.449534135949,0.0,2747.9999726314218,16687.44950676737,871.0001425259852,20742.76,0.0,3735.938
2024-08-31,25.166114784235837,51.7,38.34704572504217,5530.634514,25741.932134778723,900.4457541350022,4122.839499105946,30765.217388019675,1349.5494917299957,36810.938,1063.581,5097.523
2024-09-30,25.495097567963924,48.84,36.08259983062744,4895.881029,23651.064304488384,647.7901466055184,1538.513091271333,25837.367542365235,591.6069588000902,35034.912000000004,1082.433,1752.014
2024-10-31,25.819888974716115,42.55,40.42343454775603,3834.48166,6720.8007691445655,485.41050504295856,7503.139254688084,14709.35052887561,141.02298894284647,15346.38,941.27,7162.111
2024-11-30,26.14064523559687,37.28,44.63360042572022,3350.112791,5447.339343021059,1313.0407353363023,6658.8296664150375,13419.2097447724,37.80582584736166,11045.601000000002,1928.5800000000002,7342.553000000001
2024-12-31,26.457513110645905,32.95,44.96684951782227,4480.7311150000005,7993.404999999999,1639.278,8714.572,18347.255,6.969,10863.234,3413.755,8661.17
