,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-03 16:30:00+00:00,0.0,13.735
2021-01-03 16:45:00+00:00,0.0,12.3775
2021-01-03 17:00:00+00:00,-1.4315,0.0
2021-01-03 17:15:00+00:00,-1.25,0.0
2021-01-03 17:30:00+00:00,-1.085,0.0
2021-01-03 17:45:00+00:00,6.27,0.0
2021-01-03 18:00:00+00:00,-0.674,0.0
2021-01-03 18:15:00+00:00,-0.786666667,0.0
2021-01-03 18:30:00+00:00,-0.786,0.0
2021-01-03 18:45:00+00:00,-0.75,0.0
2021-01-03 19:00:00+00:00,0.0,0.0
2021-01-03 19:15:00+00:00,0.0,6.992
2021-01-03 19:30:00+00:00,-1.111,0.0
2021-01-03 19:45:00+00:00,-0.75,0.0
2021-01-03 20:00:00+00:00,0.0,1.504666667
2021-01-03 20:15:00+00:00,0.0,10.356666667
2021-01-03 20:30:00+00:00,0.313333333,0.0
2021-01-03 20:45:00+00:00,-2.108,0.0
2021-01-03 21:00:00+00:00,0.0,9.3125
2021-01-03 21:15:00+00:00,0.0,3.252
2021-01-03 21:30:00+00:00,5.525,0.0
2021-01-03 21:45:00+00:00,21.7295,0.0
2021-01-03 22:00:00+00:00,18.2,0.0
2021-01-03 22:15:00+00:00,5.25,0.0
2021-01-03 22:30:00+00:00,2.738333333,0.0
2021-01-03 22:45:00+00:00,2.182666667,0.0
2021-01-03 23:00:00+00:00,0.0,5.264
2021-01-03 23:15:00+00:00,0.0,0.0
2021-01-03 23:30:00+00:00,0.0,10.149333333
2021-01-03 23:45:00+00:00,0.0,8.549333333
2021-01-04 00:00:00+00:00,0.0,0.417833333
2021-01-04 00:15:00+00:00,-1.369333333,0.0
2021-01-04 00:30:00+00:00,-4.758333333,0.0
2021-01-04 00:45:00+00:00,4.961,0.0
2021-01-04 01:00:00+00:00,0.0,0.617333333
2021-01-04 01:15:00+00:00,-0.412333333,0.0
2021-01-04 01:30:00+00:00,-0.942333333,0.0
2021-01-04 01:45:00+00:00,-0.672333333,0.0
