,potential,cost,measured_power
2021-01-05 04:30:00+00:00,0.0,0.0,0.0
2021-01-05 04:45:00+00:00,0.0,0.0,0.0
2021-01-05 05:00:00+00:00,0.0,0.0,0.0
2021-01-05 05:15:00+00:00,0.066666667,-0.006488889,-0.066666667
2021-01-05 05:30:00+00:00,0.333333333,-0.153,-0.333333333
2021-01-05 05:45:00+00:00,-0.4,-0.262211111,0.4
2021-01-05 06:00:00+00:00,0.0,0.0,0.0
2021-01-05 06:15:00+00:00,0.0,-0.106811111,0.0
2021-01-05 06:30:00+00:00,0.133333333,0.041977778,-0.133333333
2021-01-05 06:45:00+00:00,1.0,-1.490855556,-1.0
2021-01-05 07:00:00+00:00,-0.6,1.100422222,0.6
2021-01-05 07:15:00+00:00,0.133333333,-0.073255556,-0.133333333
2021-01-05 07:30:00+00:00,1.0,-2.454255556,-1.0
2021-01-05 07:45:00+00:00,1.0,-5.717233333,-1.0
2021-01-05 08:00:00+00:00,0.666666667,-0.604111111,-0.666666667
2021-01-05 08:15:00+00:00,1.0,-3.615777778,-1.0
2021-01-05 08:30:00+00:00,1.0,-2.883077778,-1.0
2021-01-05 08:45:00+00:00,0.603666667,-2.285567111,-0.603666667
2021-01-05 09:00:00+00:00,-0.333333333,0.651566667,0.333333333
2021-01-05 09:15:00+00:00,0.234166667,-0.547233472,-0.234166667
2021-01-05 09:30:00+00:00,-0.273166667,0.286623278,0.273166667
2021-01-05 09:45:00+00:00,0.066666667,-0.265744444,-0.066666667
2021-01-05 10:00:00+00:00,-0.466666667,0.341755556,0.466666667
2021-01-05 10:15:00+00:00,-0.8,0.572077778,0.8
2021-01-05 10:30:00+00:00,0.133333333,-0.147533333,-0.133333333
2021-01-05 10:45:00+00:00,-0.866666667,0.627755556,0.866666667
2021-01-05 11:00:00+00:00,0.866666667,-1.145511111,-0.866666667
2021-01-05 11:15:00+00:00,0.133333333,-0.168911111,-0.133333333
2021-01-05 11:30:00+00:00,-0.466666667,0.3935,0.466666667
2021-01-05 11:45:00+00:00,-1.0,0.649333333,1.0
2021-01-05 12:00:00+00:00,0.0,0.0,0.0
2021-01-05 12:15:00+00:00,0.266666667,-0.294177778,-0.266666667
2021-01-05 12:30:00+00:00,0.333333333,-0.4253,-0.333333333
2021-01-05 12:45:00+00:00,0.0,0.0,0.0
2021-01-05 13:00:00+00:00,-0.666666667,0.384377778,0.666666667
2021-01-05 13:15:00+00:00,-0.266666667,0.164566667,0.266666667
2021-01-05 13:30:00+00:00,-0.466666667,0.254511111,0.466666667
2021-01-05 13:45:00+00:00,0.133333333,-0.067111111,-0.133333333
2021-01-05 14:00:00+00:00,-0.666666667,0.419311111,0.666666667
2021-01-05 14:15:00+00:00,-0.266666667,0.152866667,0.266666667
2021-01-05 14:30:00+00:00,0.0,0.0,0.0
2021-01-05 14:45:00+00:00,0.0,-0.069788889,0.0
2021-01-05 15:00:00+00:00,-0.4,0.277133333,0.4
2021-01-05 15:15:00+00:00,0.0,0.0,0.0
2021-01-05 15:30:00+00:00,-0.2,0.106611111,0.2
2021-01-05 15:45:00+00:00,0.8,0.697444444,-0.8
2021-01-05 16:00:00+00:00,-0.8,0.254166667,0.8
2021-01-05 16:15:00+00:00,0.266666667,-0.1551,-0.266666667
2021-01-05 16:30:00+00:00,-0.333333333,0.123011111,0.333333333
2021-01-05 16:45:00+00:00,-0.666666667,0.139055556,0.666666667
2021-01-05 17:00:00+00:00,0.0,0.286355556,0.0
2021-01-05 17:15:00+00:00,0.0,0.0,0.0
2021-01-05 17:30:00+00:00,-0.666666667,0.043444444,0.666666667
2021-01-05 17:45:00+00:00,-0.066666667,0.012533333,0.066666667
2021-01-05 18:00:00+00:00,0.2,0.4407,-0.2
2021-01-05 18:15:00+00:00,-0.2,-0.069288889,0.2
2021-01-05 18:30:00+00:00,-0.333333333,3.848222222,0.333333333
2021-01-05 18:45:00+00:00,-0.4,0.065244444,0.4
2021-01-05 19:00:00+00:00,0.533333333,0.965066667,-0.533333333
2021-01-05 19:15:00+00:00,0.866666667,-0.629066667,-0.866666667
2021-01-05 19:30:00+00:00,0.066666667,-0.033344444,-0.066666667
2021-01-05 19:45:00+00:00,-0.266666667,0.062722222,0.266666667
2021-01-05 20:00:00+00:00,0.4,0.9336,-0.4
2021-01-05 20:15:00+00:00,0.266666667,-0.006344444,-0.266666667
2021-01-05 20:30:00+00:00,0.0,0.0,0.0
2021-01-05 20:45:00+00:00,0.0,0.0,0.0
2021-01-05 21:00:00+00:00,0.933333333,-1.181833333,-0.933333333
2021-01-05 21:15:00+00:00,0.933333333,-0.816966667,-0.933333333
2021-01-05 21:30:00+00:00,-0.8,0.362311111,0.8
2021-01-05 21:45:00+00:00,-0.866666667,0.402344444,0.866666667
2021-01-05 22:00:00+00:00,0.333333333,0.975,-0.333333333
2021-01-05 22:15:00+00:00,-0.066666667,-0.050377778,0.066666667
2021-01-05 22:30:00+00:00,-1.0,0.3894,1.0
2021-01-05 22:45:00+00:00,-1.0,-0.131744444,1.0
2021-01-05 23:00:00+00:00,-0.2,0.644011111,0.2
2021-01-05 23:15:00+00:00,-0.2,0.061466667,0.2
2021-01-05 23:30:00+00:00,0.0,0.0,0.0
2021-01-05 23:45:00+00:00,-0.333333333,-0.047011111,0.333333333
2021-01-06 00:00:00+00:00,0.733333333,1.194466667,-0.733333333
